Product,Rating,MRP,Offer_Price,Discount,Reviews,Brand,Discounted_Price
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,4,2990.0,1299.0,56% off,"(12,58,071)",boAt,1691.0
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,4,2990.0,1299.0,56% off,"(12,58,071)",boAt,1691.0
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, I...",4.1,2999.0,1099.0,63% off,"(2,30,494)",Noise,1900.0
OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,4.2,3999.0,1999.0,50% off,"(47,856)",OPPO,2000.0
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",4.1,2490.0,1399.0,43% off,"(2,46,850)",boAt,1091.0
Digiwins BTH F9 Pro Earbuds Upto 300Hrs Playtime With 2...,4.7,7999.0,799.0,90% off,(6),Digiwins,7200.0
"boAt Immortal 121 with Beast Mode(40ms Low Latency),RGB...",4.1,3499.0,1699.0,51% off,"(2,627)",boAt,1800.0
"boAt Airdopes 192 with Beast Mode(40ms), 30 Hours Playb...",4.2,3599.0,1899.0,47% off,(818),boAt,1700.0
FD1 S_S L21 Wireless bluetooth headphone Waterproof Ste...,3.7,1299.0,491.0,62% off,"(25,711)",FD1,808.0
Highnotes M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Pl...,4.1,7999.0,749.0,90% off,(41),Highnotes,7250.0
boAt Airdopes 163 Bluetooth Headset,4.1,2490.0,1399.0,43% off,"(2,46,850)",boAt,1091.0
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime,...",4.2,4999.0,1499.0,70% off,"(5,053)",Boult,3500.0
OPPO Enco Buds 2 with 28 Hours Playback and AI Deep Noi...,4.2,3999.0,1799.0,55% off,"(47,856)",OPPO,2200.0
boAt Airdopes 163 Bluetooth Headset,4.1,2490.0,1399.0,43% off,"(2,46,850)",boAt,1091.0
"Noise Buds VS102 Plus with 36 Hours Playtime, Instachar...",4,3999.0,1599.0,60% off,"(24,529)",Noise,2400.0
realme Techlife Buds T100 with up to 28 Hours Playback ...,4.3,2999.0,1699.0,43% off,"(36,025)",realme,1300.0
OnePlus Nord Buds Bluetooth Headset,4.3,2999.0,2799.0,6% off,"(65,067)",OnePlus,200.0
Digiwins M19 Earbuds Upto 300 Hrs Playtime With 2000 mA...,4.5,7999.0,799.0,90% off,(17),Digiwins,7200.0
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",3.9,2990.0,1299.0,56% off,"(84,037)",boAt,1691.0
HOPPUP GRAND With Power Bank Function & Upto 75 Hours P...,3.9,2999.0,799.0,73% off,"(61,412)",HOPPUP,2200.0
HOPPUP GRAND With Power Bank Function & Upto 75 Hours P...,3.9,2999.0,799.0,73% off,"(61,412)",HOPPUP,2200.0
Seashot M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,3.3,2999.0,690.0,76% off,(487),Seashot,2309.0
Tunifi BTH F9 Pro Earbuds Upto 48 Hours Playtime with A...,3.8,7999.0,799.0,90% off,(472),Tunifi,7200.0
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,3.7,1999.0,599.0,70% off,"(1,877)",Aroma,1400.0
"boAt Airdopes 100 with 50 Hours Playback, Quad Mics ENx...",3.9,4490.0,1399.0,68% off,"(8,734)",boAt,3091.0
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",3.9,2990.0,1299.0,56% off,"(84,037)",boAt,1691.0
realme Techlife Buds T100 with up to 28 Hours Playback ...,4.3,2999.0,1699.0,43% off,"(36,025)",realme,1300.0
Tunifi Earbuds F9 Upto 48 Hours Playback with Power-Ban...,,4999.0,599.0,88% off,,Tunifi,4400.0
"Wings Phantom 315 Earbuds with 40 hrs Battery Backup, E...",4.5,1999.0,899.0,55% off,(159),Wings,1100.0
OnePlus Nord Buds Bluetooth Headset,4.3,2999.0,2799.0,6% off,"(65,067)",OnePlus,200.0
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime,...",4.2,4999.0,1499.0,70% off,"(5,053)",Boult,3500.0
"DEFY GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",4.1,2699.0,1099.0,59% off,"(15,588)",DEFY,1600.0
Boult Audio Airbass X50 Wireless Earphone / X50 Bluetoo...,4.1,4999.0,1499.0,70% off,"(13,568)",Boult,3500.0
OnePlus Nord Buds CE Truly Wireless Bluetooth Headset,4.1,2699.0,2299.0,14% off,"(32,462)",OnePlus,400.0
Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,3.7,5999.0,1099.0,81% off,"(1,30,230)",Boult,4900.0
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,3.7,1999.0,599.0,70% off,"(1,877)",Aroma,1400.0
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",4,3499.0,1199.0,65% off,"(40,269)",truke,2300.0
DAYNEO TwsL21 Mini Wireless Bluetooth Headset / Earphon...,3.6,1999.0,498.0,75% off,"(41,657)",DAYNEO,1501.0
"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics EN...",4,4490.0,1499.0,66% off,"(8,006)",boAt,2991.0
"boAt Immortal 121 with Beast Mode(40ms Low Latency),RGB...",4.1,3499.0,1699.0,51% off,"(2,627)",boAt,1800.0
"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",4.1,5499.0,1399.0,74% off,"(89,162)",Boult,4100.0
"Boult Audio Airbass X45 with Quad Mic ENC, 40H Playtime...",4.2,4999.0,1499.0,70% off,"(4,090)",Boult,3500.0
boAt Airdopes 381 with upto 20 Hours Playback and ASAP ...,3.9,4990.0,1999.0,59% off,"(2,71,282)",boAt,2991.0
Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,3.7,5999.0,1099.0,81% off,"(1,30,230)",Boult,4900.0
HOPPUP SYNC with Bluetooth 5.1 & Type C Fast Charging B...,3.9,1499.0,699.0,53% off,"(10,535)",HOPPUP,800.0
Tunifi Earbuds F9 Upto 48 Hours Playback with Power-Ban...,,4999.0,699.0,86% off,,Tunifi,4300.0
"DEFY GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",4.1,2699.0,1099.0,59% off,"(15,588)",DEFY,1600.0
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",4.1,2999.0,1299.0,56% off,"(8,665)",Boult,1700.0
"truke Air Buds Lite with Quad Mic ENC, 10mm Driver, Ear...",4,2999.0,1099.0,63% off,"(25,479)",truke,1900.0
"Wings Phantom 315 Earbuds with 40 hrs Battery Backup, E...",4.5,1999.0,899.0,55% off,(159),Wings,1100.0
"Wings X-Fire with 25 Hrs playtime Bluetooth5.3, 50ms lo...",4,3999.0,1599.0,60% off,"(11,743)",Wings,2400.0
Aroma NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,3.7,1999.0,599.0,70% off,"(1,512)",Aroma,1400.0
Tunifi Earbuds F9 Pro Upto 48 Hours Playback with Power...,2.6,4999.0,699.0,86% off,(5),Tunifi,4300.0
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast C...",3.7,3499.0,1299.0,62% off,"(35,143)",Noise,2200.0
"Boult Audio Airbass X45 with Quad Mic ENC, 40H Playtime...",4.2,4999.0,1499.0,70% off,"(4,090)",Boult,3500.0
Boult Audio Airbass X50 Wireless Earphone / X50 Bluetoo...,4.1,4999.0,1499.0,70% off,"(13,568)",Boult,3500.0
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",4.1,2999.0,1299.0,56% off,"(8,665)",Boult,1700.0
OPPO Enco Buds With 24 hours Battery Life Bluetooth Hea...,4.1,3999.0,1699.0,57% off,"(1,16,376)",OPPO,2300.0
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Ste...",4,3199.0,999.0,68% off,"(4,761)",PTron,2200.0
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,3.7,1999.0,599.0,70% off,"(1,877)",Aroma,1400.0
Earboss M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,3.7,7999.0,749.0,90% off,"(1,034)",Earboss,7250.0
Mivi DuoPods F60 ENC with 50+ Hrs Playtime| Made in Ind...,3.8,2999.0,1399.0,53% off,"(62,993)",Mivi,1600.0
"DEFY GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",4.1,2699.0,1099.0,59% off,"(15,588)",DEFY,1600.0
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Te...",3.9,2999.0,999.0,66% off,"(2,07,670)",Noise,2000.0
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,4,2990.0,1299.0,56% off,"(12,58,071)",boAt,1691.0
"BHAVISHU New I7s WITH SMALL SIZE, SUPER LIGHTWEIGHT ear...",4.1,1299.0,375.0,71% off,(40),BHAVISHU,924.0
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,4,2990.0,1299.0,56% off,"(12,58,071)",boAt,1691.0
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,3.7,1999.0,599.0,70% off,"(1,877)",Aroma,1400.0
Mivi DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,3.8,2999.0,899.0,70% off,"(97,578)",Mivi,2100.0
realme Buds Q2 Neo with Environment Noise Cancellation ...,4,2499.0,1599.0,36% off,"(1,44,043)",realme,900.0
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, I...",4.1,2999.0,1299.0,56% off,"(2,30,494)",Noise,1700.0
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Te...",3.9,2999.0,999.0,66% off,"(2,07,670)",Noise,2000.0
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",4.1,2999.0,1299.0,56% off,"(8,665)",Boult,1700.0
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",4.1,2490.0,1599.0,35% off,"(2,46,850)",boAt,891.0
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,4,2990.0,1299.0,56% off,"(12,58,071)",boAt,1691.0
Aroma NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,3.7,1999.0,599.0,70% off,"(1,512)",Aroma,1400.0
"boAt Airdopes 100 with 50 Hours Playback, Quad Mics ENx...",3.9,4490.0,1399.0,68% off,"(8,734)",boAt,3091.0
"DEFY GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",4.1,2699.0,1099.0,59% off,"(15,588)",DEFY,1600.0
Mivi DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,3.8,2999.0,1199.0,60% off,"(97,578)",Mivi,1800.0
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",4.1,2490.0,1599.0,35% off,"(2,46,850)",boAt,891.0
"boAt Airdopes 191G with 6mm Dual Drivers, Quad Mics ENx...",4,3490.0,1799.0,48% off,"(25,120)",boAt,1691.0
Digiwins T2 Earbuds Upto 250 Hrs Playtime With 1500 mAh...,5,7999.0,499.0,93% off,(4),Digiwins,7500.0
"truke Buds S1 with Quad Mic ENC, 72 Hours Playtime, 10m...",4,3999.0,1399.0,65% off,"(55,381)",truke,2600.0
Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,3.7,5999.0,1099.0,81% off,"(1,30,230)",Boult,4900.0
OnePlus Buds Z2 with Active Noise cancellation Bluetoot...,4.2,5999.0,4999.0,16% off,"(28,993)",OnePlus,1000.0
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",3.9,2990.0,1299.0,56% off,"(84,037)",boAt,1691.0
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,3.9,2999.0,1087.0,63% off,"(1,72,344)",Mivi,1912.0
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",4.1,2999.0,1299.0,56% off,"(8,665)",Boult,1700.0
"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Playtime & Fas...",3.6,1299.0,573.0,55% off,(971),TXOR,726.0
